Year,Month,Rate
2010,2,0
2010,3,0.002638522
2010,4,0
2010,5,0.003355695
2010,6,0
2010,7,0.007696008
2010,8,0.006165081
2010,9,0.00756203
2010,10,0
2010,11,0
2011,1,0
2011,2,0
2011,3,0
2011,4,0.010387557
2011,5,0.007005573
2011,6,0.00621636
2011,7,0.001861407
2011,8,0.00176333
2011,9,0.000537634
2011,10,0.00030303
2011,11,0.001692047
2012,2,0.008461589
2012,3,0.003242542
2012,4,0.005719112
2012,5,0.00041511
2012,6,0.001760866
2012,7,0.000670047
2012,8,0.006307949
2012,9,0.01703844
2012,10,0.002314815
2012,11,0.001223242
2012,12,0.003472222
2013,1,0.003347709
2013,2,0.003164557
2013,3,0.00334081
2013,4,0.0025
2013,5,0.00350475
2013,6,0.01231314
2013,7,0.010901557
2013,8,0.006675069
2013,9,0.003577688
2013,10,0.000854701
2013,11,0
2014,4,0
2014,5,0.001841621
2014,6,0.0077445
2014,7,0.007946981
2014,8,0.007599556
2014,9,0.002524917
2014,10,0
2015,1,0.002745313
2015,2,0.004216642
2015,3,0
2015,4,0.003044841
2015,5,0.006794765
2015,6,0.002656042
2015,7,0.004129475
2015,8,0.001669026
2015,9,0.00026178
2015,10,0.058823529
2015,11,0.011111111
2016,1,0.00525394
2016,3,0.001655629
2016,4,0
2016,5,0.002343958
2016,6,0.002849003
2016,7,0.005122822
2016,8,0.005375508
2016,9,0.003667134
2016,10,0.003163662
2016,12,0.002673797
2017,1,0.002621232
2017,2,0.00200267
2017,3,0
2017,6,0.003467023
2017,7,0.002680965
2017,8,0.002222805
2017,9,0.002014071
2017,10,0.005263158
2018,2,0.007425743
2018,3,0.002244061
2018,4,0.003314332
2018,5,0.003416856
2018,6,0.006448014
2018,7,0.008084949
2018,8,0.010515324
2018,9,0.011692268
2018,10,0
