Month,Average
11,292
5,406
7,420
8,589.3333333
9,332
10,250
11,281
2,490
4,651
5,531.6666667
6,699.5
7,804.5
8,440.5
9,538.5
10,640
11,494
12,354
3,518
4,987
5,543.5
6,489.75
7,559
8,598.5
9,611.5
1,237
2,378
3,547
4,748
5,620
6,624
7,630
8,661.5
9,581
5,894
6,713
7,628.5
8,732
9,747.3333333
1,404
2,561
7,682
8,678.5
9,1215
1,311
10,920
12,639
5,653.6666667
6,530
7,677
8,1014
9,1099.666667
1,573
10,191
2,394
6,754.6666667
8,1139
9,1207
3,736
4,915
5,841
6,670
