Month,Average
11,557
5,340
7,130
8,733.6666667
9,55
10,1548
11,29
2,237
4,255
5,231.6666667
6,310.5
7,40.5
8,333
9,182.5
10,1142
11,665
12,97
3,74
4,372
5,633
6,151
7,42
8,502
9,914.5
1,1
2,76
3,391
4,712
5,450
6,150.3333333
7,4.5
8,142.5
9,1438
5,331
6,54.5
7,3
8,858
9,517
1,216
2,313
7,8
8,715.5
9,859
1,383
10,32
12,1004
5,460.6666667
6,468
7,14
8,369
9,1058.666667
1,956
10,1534
2,44
6,34.33333333
8,683.6666667
9,507
3,189
4,198
5,328
6,0.5
